narrator,prologue_theft,indians_appear,birthday_dinner,murthwaite_warning,diamond_to_rachel,paint_door_discussion,franklin_restless_night,candy_doses_franklin,franklin_takes_diamond,rachel_witnesses_theft,godfrey_takes_from_franklin,discovery_morning,seegrave_investigation,cuff_arrives,rosanna_suspicious_behavior,cuff_paint_analysis,rosanna_shivering_sand_trips,godfrey_to_london,rachel_refuses_search,cuff_theory_rachel,rosanna_suicide,cuff_withdraws,franklin_departs,indians_attack_godfrey,indians_attack_luker,lady_verinder_death,godfrey_proposes_rachel,rachel_breaks_engagement,franklin_returns,nightgown_discovery,limping_lucy_letter,franklin_reads_letter,jennings_reconstruction,opium_experiment,rachel_watches_experiment,franklin_reenacts,reconciliation,godfrey_reclaims_diamond,godfrey_murdered,godfrey_exposed,diamond_returns_india
prologue_cousin,direct,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered
betteredge,hearsay,direct,direct,direct,direct,direct,inferred,not_covered,not_covered,not_covered,not_covered,direct,direct,direct,direct,direct,direct,hearsay,direct,hearsay,direct,direct,direct,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered
miss_clack,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,hearsay,hearsay,direct,direct,direct,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered
bruff,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,retrospective,not_covered,not_covered,not_covered,not_covered,not_covered,hearsay,hearsay,hearsay,hearsay,hearsay,direct,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,retrospective,not_covered
franklin_blake,hearsay,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,retrospective,not_covered,retrospective,retrospective,retrospective,retrospective,retrospective,hearsay,hearsay,hearsay,hearsay,hearsay,direct,direct,direct,direct,direct,direct,retrospective,direct,direct,hearsay,hearsay,hearsay,not_covered
ezra_jennings,not_covered,not_covered,hearsay,not_covered,not_covered,not_covered,inferred,inferred,inferred,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,direct,hearsay,not_covered,not_covered,direct,direct,direct,direct,direct,not_covered,not_covered,not_covered,not_covered
sergeant_cuff,hearsay,hearsay,hearsay,hearsay,hearsay,hearsay,not_covered,retrospective,retrospective,retrospective,retrospective,hearsay,hearsay,direct,direct,direct,direct,retrospective,direct,direct,direct,direct,direct,retrospective,retrospective,hearsay,hearsay,hearsay,hearsay,hearsay,not_covered,not_covered,hearsay,hearsay,not_covered,hearsay,hearsay,direct,direct,direct,not_covered
murthwaite,hearsay,direct,direct,direct,direct,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,not_covered,hearsay,hearsay,direct
